RUN,# Nodes,MPI process,OpenMP process,Exec Time Parallel (s),Exec Time serial (s),Speedup,Efficiency (MPI),Efficieny (MPI+OpenMP)
1,20000,2,4,6.144236,10.16,1.653582317,0.8267911584,0.4133955792
1,20000,4,8,2.730043,9.34,3.421191534,0.8552978836,0.4276489418
1,20000,8,16,1.390737,9.1,6.543293232,0.817911654,0.408955827
1,20000,16,32,0.825738,8.45,10.23327012,0.6395793823,0.3197896912
1,20000,32,64,0.83837,8.85,10.55619834,0.329881198,0.164940599
1,40000,2,4,30.952136,54.89,1.773383265,0.8866916325,0.4433458163
1,40000,4,8,14.659662,46.38,3.163783722,0.7909459304,0.3954729652
1,40000,8,16,7.730062,44.94,5.813666178,0.7267082722,0.3633541361
1,40000,16,32,4.514084,41.97,9.297567347,0.5810979592,0.2905489796
1,40000,32,64,3.525916,45.39,12.87325053,0.4022890789,0.2011445395
1,80000,2,4,196.654485,308.72,1.56985995,0.784929975,0.3924649875
1,80000,4,8,100.996902,253.45,2.509482915,0.6273707287,0.3136853643
1,80000,8,16,57.550739,269.59,4.684388154,0.5855485192,0.2927742596
1,80000,16,32,30.420352,254.94,8.380573637,0.5237858523,0.2618929262
1,80000,32,64,30.012377,282.45,9.411117287,0.2940974152,0.1470487076
2,20000,2,4,9.483454,16.15,1.702966029,0.8514830145,0.4257415073
2,20000,4,8,2.818773,10.57,3.749858538,0.9374646344,0.4687323172
2,20000,8,16,44.631346,10.66,0.2388455862,0.02985569828,0.01492784914
2,20000,16,32,0.976347,9.15,9.371668065,0.585729254,0.292864627
2,20000,32,64,3.22992,7.84,2.427304701,0.07585327191,0.03792663595
2,40000,2,4,52.096072,47.41,0.9100494179,0.455024709,0.2275123545
2,40000,4,8,16.009011,51.51,3.217562909,0.8043907272,0.4021953636
2,40000,8,16,7.307394,49.66,6.795856361,0.8494820452,0.4247410226
2,40000,16,32,4.669469,45.3,9.701317216,0.606332326,0.303166163
2,40000,32,64,5.962042,39.07,6.553123913,0.2047851223,0.1023925611
2,80000,2,4,330.769013,284.38,0.8597540544,0.4298770272,0.2149385136
2,80000,4,8,98.048625,306.1,3.121920374,0.7804800934,0.3902400467
2,80000,8,16,53.170136,342.75,6.446287818,0.8057859773,0.4028929887
2,80000,16,32,34.434259,271.66,7.889236124,0.4930772577,0.2465386289
2,80000,32,64,29.097537,247.48,8.505187226,0.2657871008,0.1328935504
3,20000,2,4,44.337154,50.87,1.14734473,0.5736723652,0.2868361826
3,20000,4,8,2.875273,10.43,3.627481634,0.9068704085,0.4534352042
3,20000,8,16,3.954743,11.2,2.832042436,0.3540053045,0.1770026523
3,20000,16,32,0.861407,9.36,10.86594374,0.6791214838,0.3395607419
3,20000,32,64,1.129437,9.14,8.092527516,0.2528914849,0.1264457424
3,40000,2,4,9.406612,10.45,1.110920701,0.5554603507,0.2777301753
3,40000,4,8,16.250672,53.1,3.267557182,0.8168892954,0.4084446477
3,40000,8,16,20.21058,55.39,2.740643762,0.3425804702,0.1712902351
3,40000,16,32,4.29805,45.74,10.64203534,0.6651272089,0.3325636044
3,40000,32,64,3.699602,43.67,11.80397243,0.3688741384,0.1844370692
3,80000,2,4,361.398376,333.22,0.9220295998,0.4610147999,0.2305074
3,80000,4,8,103.303571,310.26,3.003381171,0.7508452927,0.3754226463
3,80000,16,32,39.08161,280.52,7.177800505,0.4486125316,0.2243062658
3,80000,32,64,23.034188,267.39,11.60839705,0.3627624078,0.1813812039